iter	Passed	Remaining
0	1	1200
1	2	1026
2	2	949
3	3	935
4	4	905
5	5	892
6	6	872
7	6	865
8	7	851
9	8	844
10	9	846
11	10	845
12	11	838
13	12	846
14	13	869
15	14	878
16	15	876
17	16	874
18	16	877
19	17	876
20	18	871
21	19	870
22	20	866
23	21	862
24	22	860
25	22	853
26	23	853
27	24	846
28	25	847
29	26	855
30	27	852
31	28	874
32	30	890
33	31	890
34	32	895
35	33	898
36	34	897
37	35	897
38	36	897
39	37	894
40	37	887
41	38	882
42	39	877
43	40	872
44	40	869
45	42	887
46	43	889
47	44	887
48	45	889
49	46	885
50	47	886
51	48	882
52	49	878
53	49	874
54	50	870
55	51	866
56	52	864
57	53	862
58	53	860
59	54	860
60	55	859
61	57	863
62	58	862
63	58	861
64	59	858
65	60	856
66	61	854
67	62	852
68	63	850
69	63	847
70	64	848
71	65	846
72	66	843
73	67	842
74	68	843
75	69	843
76	70	841
77	71	844
78	72	842
79	73	841
80	74	839
81	74	838
82	75	832
83	76	830
84	76	827
85	77	824
86	78	821
87	79	819
88	79	816
89	80	814
90	81	811
91	82	811
92	82	808
93	83	807
94	84	805
95	86	810
96	87	809
97	87	807
98	88	804
99	89	802
100	89	800
101	90	797
102	91	795
103	92	793
104	92	791
105	93	789
106	94	787
107	95	786
108	95	784
109	96	783
110	97	781
111	98	778
112	99	777
113	99	776
114	100	776
115	101	775
116	102	772
117	103	772
118	104	770
119	104	767
120	105	766
121	106	763
122	106	761
123	107	759
124	108	757
125	109	756
126	109	753
127	110	752
128	111	750
129	111	749
130	112	748
131	113	746
132	114	746
133	115	746
134	116	745
135	117	744
136	117	742
137	118	740
138	119	738
139	119	736
140	120	735
141	121	732
142	121	730
143	122	728
144	123	727
145	124	725
146	124	724
147	125	722
148	126	721
149	127	719
150	127	718
151	129	720
152	130	720
153	131	720
154	132	719
155	132	718
156	133	717
157	134	715
158	135	714
159	135	712
160	136	709
161	137	709
162	137	707
163	138	706
164	139	704
165	139	703
166	140	701
167	141	699
168	142	701
169	143	703
170	144	702
171	145	701
172	146	699
173	147	698
174	147	697
175	148	696
176	149	694
177	150	693
178	150	692
179	151	691
